NAME
Академический район
Алексеевский район
Алтуфьевский район
Бабушкинский район
Басманный район
Бескудниковский район 
Бутырский район
Войковский район
Гагаринский район
Головинский район
Даниловский район
Дмитровский район
Донской район
Красносельский район
Левобережный район
Ломоносовский район
Лосиноостровский район
Мещанский район
Можайский район
Молжаниновский район
Нагорный район
Нижегородский район
Новомосковский административный округ
Обручевский район
Останкинский район
Пресненский район
район Арбат
район Аэропорт
район Беговой 
район Бибирево
район Бирюлево Восточное
район Бирюлево Западное
район Богородское
район Братеево
район Вешняки 
район Внуково
район Восточное Дегунино
район Восточное Измайлово 
район Восточный
район Выхино-Жулебино
район Гольяново 
район Дорогомилово
район Замоскворечье
район Западное Дегунино
район Зюзино
район Зябликово
район Ивановское 
район Измайлово 
район Капотня
район Коньково
район Коптево
район Косино-Ухтомский 
район Котловка
район Крылатское
район Крюково
район Кузьминки
район Кунцево
район Куркино
район Лефортово
район Лианозово
район Люблино
район Марфино
район Марьина Роща
район Марьино
район Матушкино
район Метрогородок 
район Митино
район Москворечье-Сабурово
район Нагатино-Садовники
район Нагатинский затон
район Некрасовка
район Новогиреево 
район Новокосино 
район Ново-Переделкино
район Орехово-Борисово Северное
район Орехово-Борисово Южное
район Отрадное
район Очаково-Матвеевское
район Перово
район Печатники
район Покровское-Стрешнево
район Преображенское
район Проспект Вернадского
район Раменки
район Ростокино
район Савелки
район Свиблово
район Северное Бутово
район Северное Измайлово
район Северное Медведково
район Северное Тушино
район Северный
район Силино
район Сокол
район Соколиная гора
район Сокольники
район Солнцево
район Старое Крюково
район Строгино
район Текстильщики
район Теплый Стан
район Тропарево-Никулино
район Филевский парк
район Фили-Давыдково
район Хамовники
район Ховрино
район Хорошево-Мневники
район Царицыно
район Черемушки
район Чертаново Северное
район Чертаново Центральное
район Чертаново Южное
район Щукино
район Южное Бутово
район Южное Медведково
район Южное Тушино
район Якиманка
район Ясенево
Рязанский район
Савеловский район
Таганский район
Тверской район
Тимирязевский район
Троицкий административный округ
Хорошевский район
Южнопортовый район
Ярославский район
